"Time","ProcessId","ProcessStart","CpuSeconds","WorkingSetBytes","PeakWorkingSetBytes","ThreadCount","AvailablePhysicalBytes","SampleIsPartial"
"2026-09-07T15:49:22.1961636+08:00","43688","2026-09-07T14:56:21.0156945+08:00","37830.5","1147248640","3424223232","159","8371081216","True"
"2026-09-07T15:49:52.7908355+08:00","43688","2026-09-07T14:56:21.0156945+08:00","38161.609375","1106407424","3424223232","159","8416583680","True"
"2026-09-07T15:50:23.3497104+08:00","43688","2026-09-07T14:56:21.0156945+08:00","38471.078125","1094225920","3424223232","159","8218337280","True"
"2026-09-07T15:50:53.8355247+08:00","43688","2026-09-07T14:56:21.0156945+08:00","38761.25","1098674176","3424223232","159","8205905920","True"
"2026-09-07T15:51:24.2839758+08:00","43688","2026-09-07T14:56:21.0156945+08:00","39008.484375","1119498240","3424223232","159","8471568384","True"
"2026-09-07T15:51:54.6976825+08:00","43688","2026-09-07T14:56:21.0156945+08:00","39260.75","1033531392","3424223232","159","9043058688","True"
"2026-09-07T15:52:25.1777651+08:00","43688","2026-09-07T14:56:21.0156945+08:00","39511.390625","1030832128","3424223232","159","9175654400","True"
"2026-09-07T15:52:55.6509244+08:00","43688","2026-09-07T14:56:21.0156945+08:00","39764.1875","1014063104","3424223232","159","9214894080","True"
"2026-09-07T15:53:26.1574020+08:00","43688","2026-09-07T14:56:21.0156945+08:00","40015.140625","1030987776","3424223232","159","9095327744","True"
"2026-09-07T15:53:56.6155241+08:00","43688","2026-09-07T14:56:21.0156945+08:00","40263.671875","1039294464","3424223232","159","9146728448","True"
"2026-09-07T15:54:27.0925958+08:00","43688","2026-09-07T14:56:21.0156945+08:00","40516.4375","1028870144","3424223232","159","8915148800","True"
"2026-09-07T15:54:57.4918263+08:00","43688","2026-09-07T14:56:21.0156945+08:00","40740.5","1010614272","3424223232","159","8606625792","True"
"2026-09-07T15:55:27.8901034+08:00","43688","2026-09-07T14:56:21.0156945+08:00","40906.390625","1010614272","3424223232","159","9197121536","True"
